# All target-date fund series with tickered classes, from SEC series/class census 2026
# Generated 2026-07-07; 387 series; one class per series (retail-preferred)
# Usage: fundautopsy wrapper $(grep -v "^#" data/universes/tdf_all.txt | tr "
" " ")
JRBYX  # JPMorgan SmartRetirement* Blend 2030 Fund | Class R6
JPYRX  # JPMorgan SmartRetirement* Blend 2035 Fund | Class R6
JOBYX  # JPMorgan SmartRetirement* Blend 2040 Fund | Class R6
JMYAX  # JPMorgan SmartRetirement* Blend 2045 Fund | Class R6
JNYAX  # JPMorgan SmartRetirement* Blend 2050 Fund | Class R6
JTYBX  # JPMorgan SmartRetirement* Blend 2055 Fund | Class R6
MLTKX  # MFS Lifetime 2030 Fund | R6
MLFKX  # MFS Lifetime 2040 Fund | R6
MFFKX  # MFS Lifetime 2050 Fund | R6
MFJKX  # MFS Lifetime 2060 Fund | R6
MRTAX  # MassMutual RetireSMART by JPMorgan 2020 Fund | Class A
MMSDX  # MassMutual RetireSMART by JPMorgan 2025 Fund | Class A
MRYAX  # MassMutual RetireSMART by JPMorgan 2030 Fund | Class A
MMXAX  # MassMutual RetireSMART by JPMorgan 2035 Fund | Class A
MRFAX  # MassMutual RetireSMART by JPMorgan 2040 Fund | Class A
MMKAX  # MassMutual RetireSMART by JPMorgan 2045 Fund | Class A
MMARX  # MassMutual RetireSMART by JPMorgan 2050 Fund | Class A
MMWAX  # MassMutual RetireSMART by JPMorgan 2055 Fund | Class A
MMWDX  # MassMutual RetireSMART by JPMorgan 2060 Fund | Class A
MMZGX  # MassMutual RetireSMART by JPMorgan 2065 Fund | Class A
MMFBX  # MassMutual Select T. Rowe Price Retirement 2005 Fund | Class I
MMXCX  # MassMutual Select T. Rowe Price Retirement 2010 Fund | Class M5
MMFHX  # MassMutual Select T. Rowe Price Retirement 2015 Fund | Class I
MMTWX  # MassMutual Select T. Rowe Price Retirement 2020 Fund | Class I
MMTFX  # MassMutual Select T. Rowe Price Retirement 2025 Fund | Class I
MMTRX  # MassMutual Select T. Rowe Price Retirement 2030 Fund | Class I
MMTJX  # MassMutual Select T. Rowe Price Retirement 2035 Fund | Class I
MMFOX  # MassMutual Select T. Rowe Price Retirement 2040 Fund | Class I
MMFTX  # MassMutual Select T. Rowe Price Retirement 2045 Fund | Class I
MMDDX  # MassMutual Select T. Rowe Price Retirement 2050 Fund | Class I
MMDJX  # MassMutual Select T. Rowe Price Retirement 2055 Fund | Class I
MMSKX  # MassMutual Select T. Rowe Price Retirement 2060 Fund | Class I
MMZLX  # MassMutual Select T. Rowe Price Retirement 2065 Fund | Class M5
JLDAX  # Multimanager 2020 Lifetime Portfolio | Class A
JLFAX  # Multimanager 2030 Lifetime Portfolio | Class A
